"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"UNE"	"CREO"	"BIEN"	"UNIDOS"	"VICTORIA"	"FCN_NACION"	"PHG"	"PC"	"FUERZA"	"UNIONISTA"	"VALOR"	"MLP"	"PAN"	"UCN"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6113"	"3"	"4"	"5"	"2"	"400"	"40"	"9"	"45"	"18"	"6"	"10"	"1"	"7"	"7"	"56"	"6"	"2"	"2"	"2"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"17"	"25"	"0"	"271"	"271"	"1"	"0"
"6114"	"3"	"4"	"5"	"2"	"402"	"22"	"18"	"56"	"20"	"12"	"3"	"2"	"4"	"0"	"67"	"9"	"7"	"10"	"0"	"6"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"12"	"18"	"0"	"282"	"282"	"1"	"0"
"6115"	"3"	"4"	"5"	"2"	"400"	"35"	"12"	"36"	"23"	"7"	"4"	"5"	"13"	"9"	"85"	"18"	"1"	"8"	"3"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"12"	"13"	"0"	"305"	"305"	"1"	"0"
"6116"	"3"	"4"	"5"	"2"	"250"	"24"	"7"	"31"	"13"	"6"	"0"	"1"	"12"	"3"	"46"	"6"	"1"	"12"	"1"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"7"	"12"	"0"	"200"	"200"	"1"	"0"
"6117"	"3"	"4"	"5"	"2"	"250"	"20"	"6"	"25"	"8"	"2"	"4"	"2"	"3"	"3"	"37"	"6"	"1"	"6"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"8"	"7"	"0"	"153"	"153"	"1"	"0"
"6118"	"3"	"4"	"5"	"2"	"380"	"16"	"1"	"44"	"74"	"22"	"1"	"1"	"5"	"3"	"45"	"5"	"0"	"9"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"13"	"35"	"0"	"285"	"285"	"1"	"0"
"6119"	"3"	"4"	"5"	"2"	"380"	"21"	"3"	"53"	"71"	"9"	"1"	"2"	"4"	"4"	"40"	"7"	"1"	"5"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"12"	"32"	"0"	"273"	"273"	"1"	"0"
"6120"	"3"	"4"	"5"	"2"	"380"	"29"	"1"	"54"	"71"	"10"	"2"	"0"	"0"	"4"	"38"	"4"	"2"	"9"	"0"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"21"	"32"	"53"	"287"	"287"	"1"	"0"
"6121"	"3"	"4"	"5"	"2"	"380"	"15"	"4"	"46"	"55"	"19"	"2"	"5"	"6"	"7"	"44"	"1"	"3"	"7"	"0"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"11"	"20"	"0"	"260"	"260"	"1"	"0"
"6122"	"3"	"4"	"5"	"2"	"332"	"11"	"4"	"42"	"57"	"14"	"0"	"1"	"3"	"4"	"44"	"5"	"1"	"3"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"9"	"18"	"0"	"223"	"223"	"1"	"0"
