"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"CREO"	"SEMILLA"	"UNIONISTA"	"VIVA"	"VALOR"	"PC"	"UNIDOS"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5019"	"4"	"2"	"11"	"2"	"400"	"53"	"30"	"5"	"13"	"13"	"14"	"37"	"24"	"6"	"43"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"2"	"1"	"3"	"252"	"252"	"1"	"0"
"5020"	"4"	"2"	"11"	"2"	"400"	"36"	"36"	"6"	"24"	"29"	"8"	"42"	"13"	"5"	"34"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"1"	"2"	"0"	"247"	"247"	"1"	"1"
"5021"	"4"	"2"	"11"	"2"	"400"	"45"	"31"	"4"	"12"	"34"	"7"	"37"	"19"	"12"	"30"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"4"	"4"	"0"	"246"	"246"	"1"	"0"
"5022"	"4"	"2"	"11"	"2"	"400"	"52"	"35"	"1"	"24"	"30"	"4"	"41"	"8"	"6"	"34"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"5"	"7"	"0"	"262"	"262"	"1"	"0"
"5023"	"4"	"2"	"11"	"2"	"400"	"48"	"32"	"7"	"19"	"22"	"4"	"34"	"7"	"10"	"30"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"6"	"0"	"243"	"243"	"1"	"0"
"5024"	"4"	"2"	"11"	"2"	"400"	"31"	"38"	"6"	"25"	"14"	"2"	"41"	"11"	"10"	"25"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"6"	"5"	"0"	"227"	"227"	"1"	"0"
"5025"	"4"	"2"	"11"	"2"	"400"	"40"	"39"	"3"	"13"	"19"	"4"	"47"	"16"	"6"	"37"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"4"	"0"	"241"	"241"	"1"	"0"
"5026"	"4"	"2"	"11"	"2"	"401"	"34"	"41"	"5"	"12"	"19"	"11"	"48"	"11"	"2"	"38"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"5"	"0"	"0"	"247"	"247"	"1"	"0"
"5027"	"4"	"2"	"11"	"2"	"400"	"46"	"45"	"4"	"9"	"20"	"19"	"49"	"19"	"8"	"40"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"1"	"2"	"0"	"269"	"269"	"1"	"0"
"5028"	"4"	"2"	"11"	"2"	"400"	"46"	"39"	"3"	"17"	"15"	"12"	"52"	"16"	"7"	"42"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"0"	"2"	"0"	"265"	"265"	"1"	"0"
"5029"	"4"	"2"	"11"	"2"	"210"	"22"	"8"	"2"	"8"	"21"	"4"	"19"	"4"	"6"	"21"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"0"	"1"	"1"	"122"	"122"	"1"	"0"
"5030"	"4"	"2"	"11"	"2"	"210"	"30"	"18"	"2"	"7"	"12"	"5"	"24"	"3"	"6"	"23"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"0"	"2"	"0"	"139"	"139"	"1"	"0"
"5031"	"4"	"2"	"11"	"2"	"445"	"21"	"9"	"2"	"14"	"6"	"3"	"27"	"8"	"8"	"16"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"5"	"3"	"0"	"128"	"128"	"1"	"0"
"5032"	"4"	"2"	"11"	"2"	"445"	"22"	"13"	"2"	"11"	"7"	"2"	"17"	"7"	"4"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"3"	"3"	"0"	"110"	"110"	"1"	"0"
