"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"TODOS"	"UCN"	"PAN"	"PODEMOS"	"CREO"	"VALOR"	"VICTORIA"	"PC"	"SEMILLA"	"VIVA"	"BIEN"	"LIBRE"	"CONVERGENCIA"	"UNIONISTA"	"PPT"	"FUERZA"	"MLP"	"EG"	"FCN_NACION"	"AVANZA"	"UNIDOS"	"URNG_MAIZ"	"PHG"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6287"	"3"	"5"	"1"	"2"	"402"	"8"	"43"	"8"	"11"	"8"	"8"	"3"	"4"	"4"	"12"	"2"	"12"	"8"	"26"	"11"	"1"	"1"	"0"	"1"	"5"	"0"	"6"	"1"	"2"	"9"	"13"	"0"	"0"	"0"	"0"	"207"	"207"	"11"	"3"	"0"	"221"	"221"	"1"	"0"
"6288"	"3"	"5"	"1"	"2"	"400"	"8"	"51"	"7"	"15"	"8"	"8"	"1"	"9"	"5"	"16"	"1"	"8"	"7"	"28"	"5"	"0"	"1"	"1"	"0"	"5"	"0"	"9"	"0"	"2"	"6"	"17"	"0"	"0"	"0"	"0"	"218"	"218"	"21"	"6"	"0"	"245"	"245"	"1"	"0"
"6289"	"3"	"5"	"1"	"2"	"398"	"5"	"47"	"6"	"11"	"5"	"13"	"4"	"11"	"3"	"14"	"2"	"11"	"9"	"34"	"8"	"1"	"3"	"0"	"0"	"5"	"1"	"10"	"0"	"0"	"5"	"12"	"0"	"0"	"0"	"0"	"220"	"220"	"24"	"7"	"0"	"251"	"251"	"1"	"0"
"6290"	"3"	"5"	"1"	"2"	"400"	"14"	"39"	"10"	"13"	"6"	"9"	"2"	"7"	"1"	"19"	"0"	"4"	"7"	"32"	"9"	"2"	"0"	"1"	"2"	"1"	"3"	"11"	"1"	"5"	"11"	"6"	"0"	"0"	"0"	"0"	"215"	"215"	"24"	"9"	"0"	"248"	"248"	"1"	"0"
"6291"	"3"	"5"	"1"	"2"	"400"	"7"	"39"	"3"	"14"	"12"	"9"	"3"	"10"	"4"	"15"	"4"	"12"	"7"	"34"	"10"	"2"	"4"	"3"	"2"	"1"	"5"	"17"	"1"	"1"	"6"	"12"	"0"	"0"	"0"	"0"	"237"	"237"	"30"	"8"	"0"	"275"	"275"	"1"	"0"
"6292"	"3"	"5"	"1"	"2"	"400"	"13"	"40"	"10"	"16"	"7"	"13"	"1"	"13"	"6"	"17"	"2"	"21"	"7"	"29"	"9"	"1"	"3"	"1"	"2"	"5"	"2"	"9"	"2"	"3"	"4"	"9"	"0"	"0"	"0"	"0"	"245"	"245"	"19"	"4"	"0"	"268"	"268"	"1"	"0"
"6293"	"3"	"5"	"1"	"2"	"400"	"13"	"32"	"7"	"18"	"10"	"14"	"3"	"11"	"4"	"21"	"0"	"18"	"10"	"23"	"13"	"1"	"2"	"1"	"3"	"5"	"1"	"8"	"5"	"2"	"5"	"9"	"0"	"0"	"0"	"0"	"235"	"239"	"25"	"11"	"0"	"271"	"275"	"0"	"0"
"6294"	"3"	"5"	"1"	"2"	"401"	"11"	"51"	"11"	"13"	"5"	"10"	"2"	"7"	"4"	"14"	"0"	"6"	"10"	"35"	"12"	"0"	"1"	"1"	"2"	"4"	"1"	"9"	"0"	"3"	"10"	"11"	"0"	"0"	"0"	"0"	"233"	"233"	"24"	"7"	"0"	"264"	"264"	"1"	"0"
"6295"	"3"	"5"	"1"	"2"	"400"	"18"	"45"	"8"	"14"	"12"	"12"	"3"	"3"	"4"	"19"	"2"	"12"	"12"	"26"	"15"	"3"	"0"	"0"	"1"	"7"	"1"	"20"	"2"	"3"	"8"	"9"	"0"	"0"	"0"	"0"	"259"	"259"	"20"	"6"	"0"	"285"	"285"	"1"	"0"
"6296"	"3"	"5"	"1"	"2"	"405"	"0"	"35"	"6"	"24"	"4"	"10"	"3"	"8"	"17"	"26"	"0"	"13"	"6"	"32"	"23"	"0"	"0"	"0"	"4"	"6"	"9"	"0"	"4"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"239"	"239"	"28"	"13"	"0"	"280"	"280"	"1"	"0"
"6297"	"3"	"5"	"1"	"2"	"400"	"9"	"28"	"5"	"15"	"8"	"14"	"2"	"9"	"2"	"23"	"3"	"17"	"15"	"38"	"15"	"2"	"0"	"1"	"2"	"3"	"3"	"14"	"1"	"1"	"5"	"12"	"0"	"0"	"0"	"0"	"247"	"247"	"29"	"3"	"0"	"0"	"279"	"0"	"0"
"6298"	"3"	"5"	"1"	"2"	"251"	"4"	"44"	"1"	"13"	"10"	"12"	"2"	"7"	"2"	"15"	"4"	"13"	"7"	"25"	"16"	"0"	"0"	"3"	"1"	"2"	"1"	"11"	"0"	"1"	"6"	"14"	"0"	"0"	"0"	"0"	"214"	"214"	"31"	"6"	"0"	"251"	"251"	"1"	"0"
