"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"AVANZA"	"UNE"	"VIVA"	"VALOR"	"WINAQ"	"TODOS"	"CREO"	"UCN"	"PAN"	"FCN_NACION"	"UNIDOS"	"VICTORIA"	"BIEN"	"SEMILLA"	"PHG"	"UNIONISTA"	"PC"	"MLP"	"EG"	"FUERZA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7628"	"3"	"6"	"8"	"2"	"245"	"11"	"1"	"28"	"3"	"2"	"1"	"0"	"1"	"9"	"0"	"33"	"0"	"1"	"3"	"5"	"13"	"2"	"41"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"6"	"15"	"0"	"176"	"176"	"1"	"0"
"7629"	"3"	"6"	"8"	"2"	"380"	"11"	"1"	"65"	"2"	"2"	"5"	"1"	"3"	"11"	"4"	"21"	"1"	"1"	"3"	"3"	"58"	"2"	"24"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"17"	"22"	"0"	"262"	"262"	"1"	"0"
"7630"	"3"	"6"	"8"	"2"	"380"	"9"	"0"	"51"	"1"	"0"	"5"	"2"	"4"	"14"	"4"	"32"	"0"	"1"	"1"	"0"	"52"	"3"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"25"	"41"	"0"	"265"	"265"	"1"	"0"
"7631"	"3"	"6"	"8"	"2"	"400"	"10"	"2"	"49"	"2"	"1"	"7"	"4"	"1"	"10"	"4"	"22"	"0"	"2"	"7"	"2"	"50"	"1"	"22"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"21"	"25"	"0"	"248"	"248"	"1"	"0"
"7632"	"3"	"6"	"8"	"2"	"380"	"6"	"0"	"54"	"0"	"3"	"5"	"0"	"8"	"17"	"3"	"9"	"3"	"1"	"5"	"5"	"38"	"2"	"14"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"22"	"21"	"0"	"219"	"219"	"1"	"0"
"7633"	"3"	"6"	"8"	"2"	"253"	"5"	"3"	"45"	"0"	"1"	"1"	"2"	"0"	"7"	"0"	"10"	"0"	"0"	"1"	"0"	"25"	"4"	"18"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"10"	"17"	"0"	"152"	"152"	"1"	"0"
"7634"	"3"	"6"	"8"	"2"	"253"	"4"	"1"	"27"	"1"	"2"	"4"	"2"	"3"	"15"	"1"	"16"	"0"	"0"	"3"	"2"	"29"	"1"	"31"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"6"	"15"	"0"	"165"	"165"	"1"	"0"
"7635"	"3"	"6"	"8"	"2"	"380"	"21"	"1"	"72"	"2"	"2"	"1"	"4"	"4"	"18"	"0"	"26"	"0"	"2"	"6"	"4"	"33"	"6"	"32"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"20"	"22"	"0"	"278"	"278"	"1"	"0"
"7636"	"3"	"6"	"8"	"2"	"380"	"24"	"1"	"44"	"3"	"5"	"5"	"5"	"3"	"18"	"3"	"25"	"1"	"1"	"6"	"2"	"38"	"4"	"33"	"1"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"14"	"16"	"0"	"261"	"261"	"1"	"0"
"7637"	"3"	"6"	"8"	"2"	"364"	"14"	"0"	"32"	"3"	"2"	"5"	"2"	"3"	"10"	"8"	"31"	"0"	"0"	"5"	"2"	"28"	"4"	"32"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"7"	"12"	"2"	"207"	"207"	"1"	"0"
"7638"	"3"	"6"	"8"	"2"	"363"	"19"	"0"	"40"	"0"	"1"	"2"	"3"	"0"	"23"	"6"	"25"	"1"	"2"	"3"	"3"	"22"	"3"	"20"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"29"	"0"	"213"	"213"	"1"	"0"
"7639"	"3"	"6"	"8"	"2"	"380"	"3"	"5"	"88"	"4"	"3"	"3"	"6"	"1"	"5"	"1"	"26"	"0"	"3"	"2"	"2"	"12"	"1"	"17"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"27"	"3"	"234"	"234"	"1"	"0"
"7640"	"3"	"6"	"8"	"2"	"381"	"4"	"0"	"82"	"3"	"0"	"0"	"7"	"0"	"5"	"5"	"27"	"0"	"0"	"1"	"3"	"30"	"4"	"16"	"22"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"12"	"28"	"0"	"251"	"251"	"1"	"0"
"7641"	"3"	"6"	"8"	"2"	"380"	"4"	"1"	"59"	"1"	"4"	"2"	"5"	"1"	"4"	"3"	"20"	"0"	"1"	"2"	"4"	"15"	"0"	"12"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"7"	"21"	"0"	"188"	"188"	"1"	"0"
"7642"	"3"	"6"	"8"	"2"	"221"	"3"	"3"	"37"	"0"	"1"	"1"	"1"	"2"	"3"	"0"	"20"	"0"	"2"	"1"	"0"	"9"	"1"	"16"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"4"	"11"	"0"	"128"	"128"	"1"	"0"
"7643"	"3"	"6"	"8"	"2"	"221"	"1"	"0"	"27"	"3"	"0"	"1"	"0"	"3"	"3"	"0"	"17"	"0"	"0"	"1"	"2"	"13"	"0"	"18"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"5"	"8"	"0"	"121"	"121"	"1"	"0"
"7644"	"3"	"6"	"8"	"2"	"380"	"7"	"2"	"95"	"1"	"3"	"3"	"3"	"1"	"8"	"3"	"47"	"0"	"0"	"2"	"9"	"32"	"2"	"48"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"7"	"35"	"0"	"328"	"328"	"1"	"0"
"7645"	"3"	"6"	"8"	"2"	"380"	"7"	"1"	"68"	"4"	"0"	"1"	"3"	"1"	"21"	"1"	"48"	"0"	"1"	"3"	"8"	"25"	"2"	"37"	"30"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"25"	"0"	"299"	"299"	"1"	"0"
"7646"	"3"	"6"	"8"	"2"	"208"	"5"	"1"	"32"	"0"	"1"	"1"	"0"	"1"	"13"	"1"	"23"	"0"	"0"	"0"	"2"	"27"	"2"	"13"	"19"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"3"	"17"	"0"	"163"	"163"	"1"	"0"
"7647"	"3"	"6"	"8"	"2"	"207"	"4"	"0"	"38"	"0"	"0"	"2"	"1"	"0"	"5"	"1"	"29"	"0"	"0"	"0"	"4"	"22"	"0"	"25"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"5"	"12"	"0"	"168"	"168"	"1"	"0"
"7648"	"3"	"6"	"8"	"2"	"600"	"13"	"0"	"21"	"4"	"6"	"8"	"5"	"3"	"2"	"6"	"8"	"4"	"1"	"0"	"3"	"15"	"1"	"27"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"12"	"14"	"0"	"157"	"157"	"1"	"0"
"7649"	"3"	"6"	"8"	"2"	"600"	"11"	"0"	"12"	"1"	"7"	"2"	"6"	"0"	"14"	"4"	"13"	"0"	"1"	"5"	"6"	"11"	"0"	"23"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"20"	"18"	"0"	"159"	"159"	"1"	"0"
"7650"	"3"	"6"	"8"	"2"	"600"	"15"	"0"	"5"	"7"	"5"	"8"	"1"	"3"	"4"	"3"	"15"	"1"	"2"	"1"	"3"	"15"	"1"	"13"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"105"	"105"	"14"	"12"	"0"	"131"	"131"	"1"	"0"
"7651"	"3"	"6"	"8"	"2"	"600"	"5"	"0"	"15"	"5"	"5"	"2"	"2"	"4"	"4"	"3"	"6"	"0"	"1"	"2"	"6"	"10"	"0"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"85"	"85"	"15"	"28"	"0"	"128"	"128"	"1"	"0"
