"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"BIEN"	"CREO"	"UNIONISTA"	"FUERZA"	"VALOR"	"WINAQ"	"FCN_NACION"	"VAMOS"	"EG"	"UNIDOS"	"SEMILLA"	"TODOS"	"CONVERGENCIA"	"PHG"	"PAN"	"PODEMOS"	"URNG_MAIZ"	"AVANZA"	"VIVA"	"MLP"	"PC"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17527"	"3"	"17"	"1"	"2"	"380"	"24"	"1"	"11"	"28"	"5"	"9"	"7"	"3"	"5"	"45"	"0"	"1"	"7"	"7"	"5"	"13"	"1"	"1"	"2"	"1"	"13"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"17"	"11"	"0"	"229"	"229"	"1"	"0"
"17528"	"3"	"17"	"1"	"2"	"400"	"35"	"3"	"5"	"26"	"7"	"6"	"2"	"8"	"5"	"63"	"0"	"0"	"9"	"1"	"1"	"7"	"2"	"4"	"1"	"1"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"23"	"10"	"0"	"230"	"230"	"1"	"0"
"17529"	"3"	"17"	"1"	"2"	"380"	"23"	"3"	"12"	"34"	"4"	"10"	"4"	"2"	"6"	"59"	"0"	"0"	"13"	"5"	"4"	"7"	"0"	"3"	"1"	"4"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"17"	"10"	"0"	"235"	"235"	"1"	"0"
"17530"	"3"	"17"	"1"	"2"	"380"	"33"	"3"	"8"	"34"	"8"	"11"	"7"	"3"	"8"	"44"	"1"	"0"	"18"	"7"	"4"	"4"	"0"	"9"	"3"	"0"	"11"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"23"	"7"	"0"	"255"	"255"	"1"	"0"
"17531"	"3"	"17"	"1"	"2"	"380"	"21"	"5"	"13"	"34"	"4"	"11"	"1"	"4"	"5"	"52"	"0"	"0"	"13"	"5"	"0"	"5"	"0"	"5"	"3"	"1"	"3"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"18"	"12"	"0"	"226"	"226"	"1"	"0"
"17532"	"3"	"17"	"1"	"2"	"380"	"23"	"8"	"7"	"28"	"3"	"9"	"3"	"4"	"2"	"43"	"2"	"0"	"9"	"6"	"5"	"4"	"2"	"5"	"3"	"0"	"11"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"21"	"13"	"0"	"220"	"220"	"1"	"0"
"17533"	"3"	"17"	"1"	"2"	"380"	"21"	"3"	"5"	"20"	"10"	"5"	"1"	"5"	"1"	"54"	"0"	"1"	"11"	"4"	"4"	"9"	"2"	"4"	"0"	"3"	"11"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"20"	"10"	"163"	"217"	"217"	"1"	"0"
"17534"	"3"	"17"	"1"	"2"	"380"	"25"	"0"	"9"	"21"	"2"	"8"	"6"	"3"	"3"	"49"	"0"	"0"	"13"	"1"	"3"	"4"	"2"	"2"	"3"	"0"	"10"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"22"	"11"	"0"	"200"	"200"	"1"	"0"
"17535"	"3"	"17"	"1"	"2"	"379"	"27"	"4"	"7"	"25"	"2"	"6"	"5"	"7"	"4"	"43"	"1"	"0"	"8"	"2"	"2"	"10"	"0"	"4"	"0"	"1"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"18"	"10"	"0"	"199"	"199"	"1"	"0"
"17536"	"3"	"17"	"1"	"2"	"380"	"23"	"1"	"7"	"20"	"5"	"7"	"7"	"3"	"2"	"41"	"0"	"0"	"9"	"4"	"2"	"6"	"3"	"4"	"0"	"3"	"10"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"16"	"8"	"0"	"187"	"187"	"1"	"0"
"17537"	"3"	"17"	"1"	"2"	"380"	"23"	"2"	"13"	"19"	"11"	"3"	"4"	"3"	"4"	"40"	"0"	"0"	"12"	"6"	"3"	"9"	"3"	"5"	"3"	"4"	"5"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"17"	"7"	"0"	"203"	"203"	"1"	"0"
"17538"	"3"	"17"	"1"	"2"	"380"	"23"	"2"	"8"	"39"	"6"	"6"	"1"	"5"	"4"	"40"	"1"	"0"	"10"	"2"	"3"	"9"	"1"	"3"	"2"	"1"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"8"	"8"	"0"	"188"	"188"	"1"	"0"
"17539"	"3"	"17"	"1"	"2"	"380"	"29"	"3"	"13"	"39"	"10"	"8"	"3"	"4"	"3"	"67"	"0"	"0"	"12"	"3"	"2"	"17"	"2"	"5"	"1"	"5"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"16"	"6"	"0"	"259"	"259"	"1"	"0"
