"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"EG"	"UNIDOS"	"UNE"	"VALOR"	"FUERZA"	"PHG"	"FCN_NACION"	"UNIONISTA"	"VICTORIA"	"MLP"	"VIVA"	"PPT"	"URNG_MAIZ"	"SEMILLA"	"BIEN"	"PC"	"LIBRE"	"AVANZA"	"UCN"	"PODEMOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8510"	"3"	"8"	"1"	"2"	"400"	"27"	"45"	"2"	"8"	"6"	"29"	"10"	"13"	"13"	"5"	"5"	"1"	"8"	"5"	"0"	"5"	"19"	"4"	"1"	"1"	"0"	"5"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"18"	"10"	"0"	"270"	"270"	"1"	"0"
"8511"	"3"	"8"	"1"	"2"	"400"	"14"	"20"	"6"	"5"	"1"	"21"	"8"	"15"	"16"	"7"	"1"	"1"	"10"	"5"	"1"	"5"	"15"	"6"	"3"	"13"	"1"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"40"	"15"	"0"	"257"	"257"	"1"	"0"
"8512"	"3"	"8"	"1"	"2"	"397"	"33"	"37"	"9"	"6"	"4"	"29"	"6"	"18"	"11"	"6"	"2"	"4"	"9"	"3"	"2"	"5"	"17"	"4"	"5"	"4"	"1"	"4"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"25"	"10"	"1"	"283"	"283"	"1"	"0"
"8513"	"3"	"8"	"1"	"2"	"400"	"20"	"27"	"6"	"6"	"1"	"29"	"10"	"11"	"20"	"7"	"2"	"5"	"17"	"6"	"1"	"10"	"20"	"9"	"3"	"3"	"1"	"7"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"23"	"9"	"0"	"283"	"283"	"1"	"0"
"8514"	"3"	"8"	"1"	"2"	"400"	"30"	"39"	"6"	"13"	"1"	"35"	"11"	"16"	"16"	"3"	"2"	"5"	"15"	"5"	"2"	"4"	"16"	"5"	"6"	"4"	"1"	"1"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"33"	"10"	"0"	"311"	"311"	"1"	"0"
"8515"	"3"	"8"	"1"	"2"	"400"	"38"	"42"	"5"	"9"	"0"	"22"	"11"	"9"	"11"	"5"	"2"	"4"	"13"	"8"	"1"	"11"	"13"	"6"	"7"	"2"	"0"	"7"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"20"	"12"	"0"	"292"	"292"	"1"	"0"
"8516"	"3"	"8"	"1"	"2"	"400"	"32"	"46"	"3"	"12"	"1"	"30"	"11"	"15"	"12"	"6"	"2"	"3"	"7"	"8"	"0"	"9"	"20"	"3"	"5"	"4"	"0"	"6"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"26"	"4"	"0"	"303"	"303"	"1"	"0"
"8517"	"3"	"8"	"1"	"2"	"399"	"31"	"44"	"9"	"9"	"5"	"32"	"6"	"9"	"10"	"3"	"6"	"5"	"15"	"5"	"1"	"8"	"17"	"4"	"6"	"3"	"1"	"5"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"33"	"9"	"0"	"296"	"296"	"1"	"0"
"8518"	"3"	"8"	"1"	"2"	"400"	"28"	"41"	"5"	"4"	"2"	"32"	"6"	"14"	"10"	"7"	"2"	"6"	"13"	"7"	"2"	"1"	"11"	"10"	"2"	"3"	"1"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"25"	"7"	"0"	"265"	"265"	"1"	"0"
"8519"	"3"	"8"	"1"	"2"	"400"	"25"	"34"	"5"	"3"	"4"	"27"	"11"	"14"	"10"	"3"	"3"	"8"	"7"	"1"	"1"	"5"	"14"	"6"	"2"	"2"	"0"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"25"	"17"	"0"	"267"	"267"	"1"	"0"
